"id","category_id","rate","color","start_number","end_number","created_at","status","event_session_id","entry_date"
"12","1","100","Green","3078","3129","2025-11-06 05:31:56","Settled","1","2025-09-22"
"13","1","100","Green","4001","4048","2025-11-06 05:31:56","Settled","1","2025-09-22"
"14","1","100","Green","5001","6000","2025-11-06 05:31:56","Available","1","2025-09-22"
"15","1","100","Green","6001","7000","2025-11-06 05:31:56","Available","1","2025-09-22"
"16","1","100","Green","7001","8000","2025-11-06 05:31:56","Available","1","2025-09-22"
"17","1","100","Green","8001","9000","2025-11-06 05:31:56","Available","1","2025-09-22"
"18","1","100","Green","9001","10000","2025-11-06 05:31:56","Available","1","2025-09-22"
"19","1","100","Green","10001","11000","2025-11-06 05:31:56","Available","1","2025-09-22"
"20","1","100","Green","11001","12000","2025-11-06 05:31:56","Available","1","2025-09-22"
"21","1","100","Green","12001","13000","2025-11-06 05:31:56","Available","1","2025-09-22"
"22","1","100","Green","13001","14000","2025-11-06 05:31:56","Available","1","2025-09-22"
"23","1","100","Green","14001","15000","2025-11-06 05:31:56","Available","1","2025-09-22"
"24","1","100","Green","15001","16000","2025-11-06 05:31:56","Available","1","2025-09-22"
"25","1","100","Green","16001","17000","2025-11-06 05:31:56","Available","1","2025-09-22"
"26","1","100","Green","17001","18000","2025-11-06 05:31:56","Available","1","2025-09-22"
"27","1","100","Green","18001","19000","2025-11-06 05:31:56","Available","1","2025-09-22"
"28","1","100","Green","19001","20000","2025-11-06 05:31:56","Available","1","2025-09-22"
"29","1","100","Green","20001","21000","2025-11-06 05:31:56","Available","1","2025-09-22"
"30","1","100","Green","21001","22000","2025-11-06 05:31:56","Available","1","2025-09-22"
"31","1","100","Green","22001","23000","2025-11-06 05:31:56","Available","1","2025-09-22"
"32","1","100","Green","23001","24000","2025-11-06 05:31:56","Available","1","2025-09-22"
"33","1","100","Green","24001","25000","2025-11-06 05:31:56","Available","1","2025-09-22"
"34","1","100","Pink","1","1000","2025-11-06 05:33:47","Available","1","2025-09-22"
"35","1","100","Pink","1001","2000","2025-11-06 05:33:47","Available","1","2025-09-22"
"36","1","100","Pink","2001","3000","2025-11-06 05:33:47","Available","1","2025-09-22"
"37","1","100","Pink","3001","4000","2025-11-06 05:33:47","Available","1","2025-09-22"
"38","1","100","Pink","4001","5000","2025-11-06 05:33:47","Available","1","2025-09-22"
"39","1","100","Pink","5001","6000","2025-11-06 05:33:47","Available","1","2025-09-22"
"40","1","100","Pink","6001","7000","2025-11-06 05:33:47","Available","1","2025-09-22"
"41","1","100","Pink","7001","8000","2025-11-06 05:33:47","Available","1","2025-09-22"
"42","1","100","Pink","8001","9000","2025-11-06 05:33:47","Available","1","2025-09-22"
"43","1","100","Pink","9001","10000","2025-11-06 05:33:47","Available","1","2025-09-22"
"44","1","100","Pink","10001","11000","2025-11-06 05:33:47","Available","1","2025-09-22"
"45","1","100","Pink","11001","12000","2025-11-06 05:33:47","Available","1","2025-09-22"
"46","1","100","Pink","12001","13000","2025-11-06 05:33:47","Available","1","2025-09-22"
"47","1","100","Pink","13001","14000","2025-11-06 05:33:47","Available","1","2025-09-22"
"48","1","100","Pink","14001","15000","2025-11-06 05:33:47","Available","1","2025-09-22"
"49","1","100","Pink","15001","16000","2025-11-06 05:33:47","Available","1","2025-09-22"
"50","1","100","Pink","16001","17000","2025-11-06 05:33:47","Available","1","2025-09-22"
"51","1","100","Pink","17001","18000","2025-11-06 05:33:47","Available","1","2025-09-22"
"52","1","100","Pink","18001","19000","2025-11-06 05:33:47","Available","1","2025-09-22"
"53","1","100","Pink","19001","20000","2025-11-06 05:33:47","Available","1","2025-09-22"
"54","1","100","Pink","20001","21000","2025-11-06 05:33:47","Available","1","2025-09-22"
"55","1","100","Pink","21001","22000","2025-11-06 05:33:47","Available","1","2025-09-22"
"56","1","100","Pink","22001","23000","2025-11-06 05:33:47","Available","1","2025-09-22"
"57","1","100","Pink","23001","24000","2025-11-06 05:33:47","Available","1","2025-09-22"
"58","1","100","Pink","24001","25000","2025-11-06 05:33:47","Available","1","2025-09-22"
"74","1","100","Pink","1","1000","2025-11-06 06:15:03","Available","1","2025-10-20"
"75","1","100","Pink","1001","2000","2025-11-06 06:15:03","Available","1","2025-10-20"
"76","1","100","Pink","2001","3000","2025-11-06 06:15:03","Available","1","2025-10-20"
"77","1","100","Pink","3001","4000","2025-11-06 06:15:03","Available","1","2025-10-20"
"78","1","100","Pink","4001","5000","2025-11-06 06:15:03","Available","1","2025-10-20"
"79","1","100","Pink","5001","6000","2025-11-06 06:15:03","Available","1","2025-10-20"
"80","1","100","Pink","6001","7000","2025-11-06 06:15:03","Available","1","2025-10-20"
"81","1","100","Pink","7001","8000","2025-11-06 06:15:03","Available","1","2025-10-20"
"82","1","100","Pink","8001","9000","2025-11-06 06:15:03","Available","1","2025-10-20"
"83","1","100","Pink","9001","10000","2025-11-06 06:15:03","Available","1","2025-10-20"
"84","1","100","Pink","10001","11000","2025-11-06 06:15:03","Available","1","2025-10-20"
"85","1","100","Pink","11001","12000","2025-11-06 06:15:03","Available","1","2025-10-20"
"86","1","100","Pink","12001","13000","2025-11-06 06:15:03","Available","1","2025-10-20"
"87","1","100","Pink","13001","14000","2025-11-06 06:15:03","Available","1","2025-10-20"
"88","1","100","Pink","14001","15000","2025-11-06 06:15:03","Available","1","2025-10-20"
"89","2","100","Green","19474","19479","2025-11-06 06:15:40","Settled","1","2025-09-22"
"90","2","100","Green","5801","6000","2025-11-06 06:18:23","Available","1","2025-09-22"
"91","2","100","Green","8001","9000","2025-11-06 06:19:09","Available","1","2025-09-22"
"92","2","100","Green","9001","10000","2025-11-06 06:19:09","Available","1","2025-09-22"
"93","2","100","Green","10001","11000","2025-11-06 06:19:09","Available","1","2025-09-22"
"94","2","100","Green","11001","12000","2025-11-06 06:19:09","Available","1","2025-09-22"
"95","2","100","Red","3356","3362","2025-11-06 06:19:57","Settled","1","2025-09-22"
"96","2","100","Red","4001","5000","2025-11-06 06:19:57","Available","1","2025-09-22"
"97","2","100","Red","12001","13000","2025-11-06 06:20:21","Available","1","2025-09-22"
"98","2","100","Red","15001","16000","2025-11-06 06:20:43","Available","1","2025-09-22"
"99","2","100","Red","16001","17000","2025-11-06 06:20:43","Available","1","2025-09-22"
"100","2","100","Red","8001","9000","2025-11-06 06:21:15","Available","1","2025-09-22"
"101","2","100","Red","9001","10000","2025-11-06 06:21:15","Available","1","2025-09-22"
"102","2","100","Red","22001","23000","2025-11-06 06:21:39","Available","1","2025-09-22"
"103","2","100","Green","16327","16330","2025-11-06 06:22:11","Settled","1","2025-09-22"
"104","2","100","Green","15170","16000","2025-11-06 06:22:42","Available","1","2025-09-22"
"105","2","100","Green","17001","18000","2025-11-06 06:23:12","Available","1","2025-11-28"
"106","2","100","Green","18001","19000","2025-11-06 06:23:13","Available","1","2025-11-28"
"107","2","100","Green","19001","20000","2025-11-06 06:23:13","Available","1","2025-11-28"
"108","2","100","Green","21001","22000","2025-11-06 06:23:54","Available","1","2025-09-22"
"109","2","100","Green","22001","23000","2025-11-06 06:23:54","Available","1","2025-09-22"
"110","2","100","Green","15001","16000","2025-11-06 06:24:18","Available","1","2025-09-22"
"111","2","100","Yellow","9621","10000","2025-11-06 06:24:45","Available","1","2025-09-22"
"112","2","100","Yellow","20001","21000","2025-11-06 06:25:21","Available","1","2025-09-22"
"113","2","100","Yellow","21001","22000","2025-11-06 06:25:21","Available","1","2025-09-22"
"114","2","100","Red","801","802","2025-11-06 06:26:03","Settled","1","2025-09-22"
"115","2","100","Red","1001","2000","2025-11-06 06:26:03","Available","1","2025-09-22"
"116","2","100","Red","2001","3000","2025-11-06 06:26:03","Available","1","2025-09-22"
"117","2","100","Red","3001","4000","2025-11-06 06:26:03","Available","1","2025-09-22"
"118","2","100","Red","4001","5000","2025-11-06 06:26:03","Available","1","2025-09-22"
"119","2","100","Red","1","1000","2025-11-06 06:26:27","Available","1","2025-09-22"
"120","2","100","Red","1001","2000","2025-11-06 06:26:27","Available","1","2025-09-22"
"121","2","50","Pink","9614","10000","2025-11-06 06:27:14","Available","1","2025-09-22"
"122","2","50","Pink","1145","2000","2025-11-06 06:27:38","Available","1","2025-09-22"
"123","2","50","Pink","15001","16000","2025-11-06 06:28:03","Available","1","2025-09-22"
"124","2","50","Pink","17001","18000","2025-11-06 06:28:24","Available","1","2025-09-22"
"125","2","100","Yellow","11884","11885","2025-11-06 06:29:04","Settled","1","2025-09-22"
"126","2","100","Yellow","12001","13000","2025-11-06 06:29:04","Available","1","2025-09-22"
"127","2","100","Yellow","13001","14000","2025-11-06 06:29:04","Available","1","2025-09-22"
"128","2","100","Yellow","14001","15000","2025-11-06 06:29:04","Available","1","2025-09-22"
"129","2","100","Green","20706","20711","2025-11-06 06:29:31","Settled","1","2025-09-22"
"130","2","100","Green","6001","7000","2025-11-06 06:29:53","Available","1","2025-09-22"
"131","2","100","Green","7001","8000","2025-11-06 06:29:53","Available","1","2025-09-22"
"132","2","100","Green","13001","14000","2025-11-06 06:30:17","Available","1","2025-09-22"
"133","2","100","Green","14001","15000","2025-11-06 06:30:17","Available","1","2025-09-22"
"134","2","100","Green","19001","20000","2025-11-06 06:30:49","Available","1","2025-09-22"
"135","2","100","Green","20001","21000","2025-11-06 06:30:49","Available","1","2025-09-22"
"136","2","100","Green","23001","24000","2025-11-06 06:31:15","Available","1","2025-09-22"
"137","2","100","Green","24001","25000","2025-11-06 06:31:15","Available","1","2025-09-22"
"138","2","100","Green","13001","14000","2025-11-06 06:31:47","Available","1","2025-09-22"
"139","2","100","Green","14001","15000","2025-11-06 06:31:47","Available","1","2025-09-22"
"140","2","100","Green","10001","11000","2025-11-06 06:32:10","Available","1","2025-09-22"
"141","2","100","Green","5487","5493","2025-11-06 06:32:59","Settled","1","2025-09-22"
"142","2","100","Green","6001","7000","2025-11-06 06:32:59","Available","1","2025-09-22"
"143","2","100","Green","7001","8000","2025-11-06 06:32:59","Available","1","2025-09-22"
"144","2","100","Green","8001","9000","2025-11-06 06:32:59","Available","1","2025-09-22"
"145","2","100","Green","9001","10000","2025-11-06 06:32:59","Available","1","2025-09-22"
"146","2","100","Red","5001","6000","2025-11-06 06:34:20","Available","1","2025-09-22"
"147","2","100","Red","6001","7000","2025-11-06 06:34:20","Available","1","2025-09-22"
"148","2","50","Pink","6068","7000","2025-11-06 06:34:49","Distributed","1","2025-09-22"
"149","2","50","White","1","100","2025-11-06 06:35:33","Available","1","2025-10-10"
"150","2","50","White","101","200","2025-11-06 06:35:52","Available","1","2025-10-10"
"151","2","50","White","201","300","2025-11-06 06:36:04","Available","1","2025-10-10"
"152","2","50","White","301","400","2025-11-06 06:36:16","Available","1","2025-10-10"
"153","2","50","White","401","500","2025-11-06 06:36:26","Available","1","2025-10-10"
"154","2","50","Pink","10001","11000","2025-11-06 06:37:28","Available","1","2025-10-10"
"155","2","50","Pink","11001","12000","2025-11-06 06:37:28","Available","1","2025-10-10"
"156","2","50","Pink","19001","20000","2025-11-06 06:37:52","Available","1","2025-09-22"
"157","2","50","Pink","16386","17000","2025-11-06 06:38:46","Distributed","1","2025-09-22"
"158","2","50","Pink","19001","20000","2025-11-06 06:39:08","Available","1","2025-09-22"
"159","2","50","Pink","17001","18000","2025-11-06 06:39:40","Available","1","2025-09-22"
"160","2","50","Pink","1","1000","2025-11-06 06:40:18","Available","1","2025-10-05"
"161","2","50","Pink","1001","2000","2025-11-06 06:40:18","Available","1","2025-10-05"
"162","2","50","Pink","2001","3000","2025-11-06 06:40:18","Available","1","2025-10-05"
"163","2","50","Pink","3001","4000","2025-11-06 06:40:18","Available","1","2025-10-05"
"164","2","50","Pink","4001","5000","2025-11-06 06:40:18","Available","1","2025-10-05"
"165","2","50","Pink","19700","20000","2025-11-06 06:40:52","Available","1","2025-09-22"
"166","2","50","Pink","2001","3000","2025-11-06 06:41:15","Available","1","2025-09-22"
"167","2","50","Pink","14001","15000","2025-11-06 06:41:33","Available","1","2025-09-22"
"168","2","50","Pink","17587","18000","2025-11-06 06:42:33","Distributed","1","2025-09-22"
"169","2","50","Pink","13001","14000","2025-11-06 06:43:06","Available","1","2025-09-22"
"170","2","50","Pink","14001","15000","2025-11-06 06:43:06","Available","1","2025-09-22"
"171","2","50","Pink","18001","19000","2025-11-06 06:43:30","Available","1","2025-09-22"
"172","2","50","Pink","1","1000","2025-11-06 06:43:51","Available","1","2025-09-22"
"173","2","50","Pink","5001","6000","2025-11-06 06:44:40","Available","1","2025-09-22"
"174","2","50","Pink","6001","7000","2025-11-06 06:44:40","Available","1","2025-09-22"
"175","2","50","Pink","7001","8000","2025-11-06 06:44:40","Available","1","2025-09-22"
"176","2","50","Pink","8001","9000","2025-11-06 06:44:40","Available","1","2025-09-22"
"177","2","50","Pink","9001","10000","2025-11-06 06:44:40","Available","1","2025-09-22"
"178","2","50","Pink","21001","22000","2025-11-06 06:45:13","Available","1","2025-09-22"
"179","2","50","Pink","22001","23000","2025-11-06 06:45:13","Available","1","2025-09-22"
"180","2","50","Pink","1","1000","2025-11-06 06:45:29","Available","1","2025-09-22"
"181","2","50","Pink","16839","17000","2025-11-06 06:45:53","Distributed","1","2025-09-22"
"182","2","50","Pink","18040","19000","2025-11-06 06:46:25","Available","1","2025-09-22"
"183","2","50","Pink","13001","14000","2025-11-06 06:46:49","Available","1","2025-09-22"
"184","2","50","Pink","18001","19000","2025-11-06 06:47:24","Available","1","2025-09-22"
"185","2","50","Pink","20574","21000","2025-11-06 06:47:50","Distributed","1","2025-09-22"
"186","2","50","Pink","4145","5000","2025-11-06 06:48:13","Available","1","2025-09-22"
"187","2","50","Pink","12001","13000","2025-11-06 06:48:35","Available","1","2025-09-22"
"188","2","50","Pink","16001","17000","2025-11-06 06:48:59","Available","1","2025-09-22"
"189","1","100","Green","3130","4000","2025-11-12 15:49:36","Available","1","2025-09-22"
"190","1","100","Green","4049","5000","2025-11-12 15:49:56","Available","1","2025-09-22"
"191","2","100","Green","19480","20000","2025-11-12 15:50:15","Available","1","2025-09-22"
"192","2","100","Red","3363","4000","2025-11-12 15:51:44","Available","1","2025-09-22"
"193","2","100","Green","16331","17000","2025-11-12 15:52:00","Available","1","2025-09-22"
"194","2","100","Red","803","1000","2025-11-12 15:52:24","Available","1","2025-09-22"
"195","2","100","Yellow","11886","12000","2025-11-12 15:52:41","Available","1","2025-09-22"
"196","2","100","Green","20712","21000","2025-11-12 15:52:57","Available","1","2025-09-22"
"197","2","100","Green","5494","6000","2025-11-12 15:53:33","Available","1","2025-09-22"
